dictionary
ESP,ENG,part of speech ENG,part of speech ESP,gender,definition ENG,defiition ESP,example ENG,example ESP,sources,areas,,
Cuerpo ,Field,Noun,,M.,,,,,,,,
Anillo ,Ring,Noun,,M.,,,,,,,,
Ideal,Ideal,Noun,,M.,,,,,,,,
Grupo,Group,Noun,,M.,,,,,,,,
Conjunto ,Set,Noun,,M.,,,,,,,,
Subconjunto,Subset,,,,,,,,,,,
Conjunto Vacío,Empty Set,Noun,,M.,,,,,,,,
Conjunto Potencia (Conjunto de Las Partes o Conjunto de Partes) ,Power Set,Noun,,M.,,el conjunto potencia de un conjunto dado es otro conjunto formado por todos los subconjuntos del conjunto dado,,,Wiki,,,
Número Entero,An Integer Number,Noun,,M.,,,,,,,,
Número Natural,A Natural Number ,Noun,,M.,,,,,,,,
Número Irracional,A Irrational Number,Noun,,M.,,,,,,,,
El Conjunto de Los Números Enteros ,The Integers ,Noun,,M.,,,,,,,,
El Conjunto de Los Números Naturales,The Natural Numbers,Noun,,M.,,,,,,,,
El Conjunto de Los Números Irracionales ,The Irrational Numbers,Noun,,M.,,,,,,,,
El Conjunto de Los Números Reales,The Real Numbers,Noun,,M.,,,,,,,,
Espacio de Lazos ,Loop Space ,Noun,,M.,,,,,,,,
Espacio Vectorial ,Vector Space,Noun,,M.,,,,,,,,
Homotopía,Homotopy ,Noun,,F.,,,,,,,,
Isomorfismo ,Isomorphism,Noun,,M.,,,,,,,,
Morfismo ,Morphism ,Noun,,M.,,,,,,,,
Epimorfismo,Epimorphism,Noun,,M.,,,,,,,,
Monomorfismo,Monomorphism,Noun,,M.,,,,,,,,
Difeomorfismo,Diffeomorphism,Noun,,M.,,,,,Wiki,,,
Categoría ,Category ,Noun,,F.,,,,,,,,
Topología ,Topology,Noun,,F.,,,,,,,,
Topología de los Complementos Finito / Topología Cofinita,Finite Complement Topology/ Cofinite Topology,Noun,,F.,,,,,,,,
Espacio Topológico,Topological Space,Noun,,M.,,,,,,,,
Variedad Diferenciable,Differentiable Manifold,Noun,,F.,,,,,Wiki,,,
Par,Pair,Noun,,M.,,,,,,,,
Par Ordenado,Ordered Pair,Noun,,M.,,,,,,,,
Unión ,Union,Noun,,F.,,,,,,,,
Intersección,Intersection ,Noun,,F.,,,,,,,,
Complemento,Compliment,Noun,,M.,,,,,,,,
Abierto ,Open,Adj,,,,,,,,,,
Cerado,Closed,Adj,,,,,,,,,,
Leyes De De Morgan,De Morgan’s Law,Noun,,F.,,,,,,,,
Producto Cartesiano ,Cartesian Product,Noun,,M.,,,,,,,,
Conjunto Parcialmente Ordenado,Partially Ordered Set (Poset),Noun,,M.,,,,,,,,
Orden,Order,Noun,,M.,,,,,,,,
Orden Parcial,Partial Ordering,Adj,,,,,,,,,,
Relación de Orden,Ordering,,,,,,,,,,,
Relación de Equivalencia,Equivalence Relation,Noun,,F.,,,,,,,,
Relación Binaria ,Binary Relation,Noun,,F.,,,,,,,,
Relación de Orden Total,Total Ordering ,Noun,,F.,,,,,,,,
Contraejemplo,Counterexample ,Noun,,M.,,,,,,,,
Conjunto Denso,Dense Set ,Noun,,M.,,,,,,,,
Densa/o,Dense,Adj,,,,,,,,,,
Espacio Separable ,Separable Space,Noun,,M.,,,,,,,,
Espacio Denso,Dense Space,Noun,,M.,,,,,,,,
Finita/o ,Finite,Adj,,,,,,,,,,
Infinita/o,Infinite,Adj,,,,,,,,,,
Conjunto Numerable ,Countable Set,Noun,,M.,,un conjunto numerable es un conjunto con la misma cardinalidad que el conjunto de los números naturales,,,Wiki,,,
Conjunto No Numberable,Uncountable Set,Noun,,M.,,un conjunto no numerable es un conjunto que no puede ser enumerado,The real numebers,El conjunto de los números reales,Wiki,,,
Cardinalidad ,Cardinality ,Noun,,F.,,,,,,,,
Dominio,Domain,Noun,,M.,,,,,,,,
Codominio,Codomain,Noun,,M.,,,,,,,,
"Sobreyectiva (epiyectiva, suprayectiva suryectiva, exhaustiva, onto o subyectiva)/o",Surjective,Adj,,,,,,,Wiki,,,
Inyectiva/o,Injective,Adj,,,,,,,,,,
Imagen,Image,Noun,,M.,,,,,,,,
Biyectiva/o,Bijective,Adj,,,,,,,,,,
Función,Function,Noun,,F.,,,,,,,,
Teorema,Theorem,Noun,,M.,,,,,,,,
Sistema Algebraica ( Estructura Algebraica),Algebraic Structure,Noun,,F.,,,,,,,,
Primo,Prime,Adj,,,,,,,,,,
"Opuesto (o Simétrico Para la Suma, o Inverso Aditivo) ",Negation (Additive Inverse),Noun,,M.,,"el opuesto de un número n es el número que, sumado conn da cero",,,Wiki,,,
Reflexividad,Reflexivity ,Adj,,,,una propiedad,,,,,,
Simetría,Symmetry,Adj,,,,,,,,,,
Transitividad,Transitividad,Adj,,,,,,,,,,
Relación Reflexiva (o Refleja),Reflexive Relation,Noun,,,,,,,,,,
Irreflexiva (Antirreflexiva o Antirrefleja),Irreflexiva (Anti-reflexive),Adj,,,,,,,,,,
Asimétra,Antisymmetry,Adj,,,,,,,,,,
Simétrica ,Symmetric,Adj,,,,,,,,,,
Asimétrica,Antisymmetric,Adj,,,,,,,,,,
(Matriz) Transpuesta,Transpose (Matrix),Noun,,F.,,,,,,,,
Matriz,Matrix,Noun,,F.,,,,,,,,
Matriz de Adyacencia,Adjacency Matrix,Noun,,F.,,,,,,,,
Matriz Cuadrada,Square Matrix,Noun,,F.,,,,,,,,
Matriz Cero,Zero Matrix,Noun,,F.,,,,,,,,
Matriz Laplaciana (o Matriz de Admitancia o Matriz de Kirchhoff ),Laplacian Matrix (or Admittance Matrix or Kirchhoff Matrix),Noun,,F.,,,,,Wiki,Teoría de grafos,,
Teoría de Grafos,Graph Theory,Noun,,,,,,,,,,
Álgebra,Algebra,Noun,,F.,,,,,,,,
Análisis ,Analysis ,Noun,,M.,,,,,,,,
Geometría,Geometry,Noun,,F.,,,,,,,,
Teoría de Números,Number Theory,Noun,,,,,,,,,,
,Linear Algebra,Noun,,,,,,,,,,
Análisis Real ( o Teoría de las Funciones de Variable Real) ,Real Analysis,Noun,,M.,,es la rama del análisis matemático que tiene que ver con el conjunto de los números reales,,,Wiki,,,
Análisis Complejo ( o Teoría de las Funciones de Variable Compleja) ,Complex Analysis,Noun,,M.,,,,,,,,
